caso_id,tomo,tipo_cambio,old_outcome,new_outcome,old_vp,new_vp,old_n,new_n,old_pet,new_pet,new_variante,new_firma
330_p3432,330,REGRESION_menos_jueces,desestima,otro,mixed,unanime,11,1,"Por ello, y habiendo dictaminado la señora Procuradora Fisca","Por ello, y oído la señora Procuradora Fiscal Subrogante, se",por_ello,RICARDO LUIS LORENZETTI.
330_p3513,330,REGRESION_perdio_firma,desestima,otro,segun_su_voto,sin_firma,5,0,"Por ello, habiendo dictaminado la señora Procuradora Fiscal,","Por ello, de conformidad con lo dictaminado por la señora Pr",por_ello,
330_p3994,330,mejora_gano_firma,otro,confirma,sin_firma,unanime,0,7,"en consecuencia, dejó sin efecto la resolución de la Adminis","Por ello, y con la salvedad de lo señalado en los consideran",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE
330_p4263,330,cambio_outcome,procedente,otro,unanime,segun_su_voto,5,5,"Por ello, se declara procedente el recurso extraordinario, s","Por ello, Acordaron: I. Hacer saber a las cámaras federales ",por_ello,"el libro correspondiente, por ante mí, que doy fe. RICARDO LUIS LORENZETTI — ELE"
330_p4368,330,cambio_outcome,otro,originaria,unanime,unanime,4,4,"En consecuencia, no corresponde aplicar intereses al monto d","Por ello, se resuelve: I. Rechazar las oposiciones al pago d",por_ello,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN
330_p4435,330,REGRESION_menos_jueces,hace_lugar,hace_lugar,segun_su_voto,unanime,6,1,"Por ello, se hace lugar a la queja, se declara procedente el","Por ello, y oído la señora Procuradora Fiscal subrogante, se",por_ello,CARMEN M. ARGIBAY.
330_p4811,330,cambio_outcome,otro,originaria,unanime,unanime,4,4,"En su mérito, el Tribunal debe inhibirse de continuar conoci","Por ello, se resuelve: I. Hacer lugar a la excepción de falt",por_ello,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN
330_p4988,330,mejora_gano_firma,otro,confirma,sin_firma,unanime,0,2,"Por ello, concluye, dicho “trasfondo explica correlativament","Por ello, y lo concordemente dictaminado, en lo pertinente, ",por_ello,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO
330_p5052,330,REGRESION_perdio_firma,hace_lugar,desestima,disidencia,sin_firma,7,0,"Por ello, oído el señor Procurador Fiscal, se hace lugar a l","Por ello, oído que fue el señor Procurador Fiscal, se desest",por_ello,
330_p5064,330,REGRESION_menos_jueces,abstracto,revoca,disidencia,unanime,6,1,"Por ello, oído el señor Procurador Fiscal subrogante, se dec","Por ello, de conformidad con lo dictaminado por el señor Pro",por_ello,ENRIQUE SANTIAGO PETRACCHI.
330_p5070,330,cambio_outcome,otro,abstracto,unanime,unanime,7,7,"En consecuencia, puesto que el decreto del Poder Ejecutivo N","Por lo expuesto, oída la señora Procuradora Fiscal subrogant",por_lo_expuesto,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE
330_p5294,330,mejora_gano_firma,otro,hace_lugar,sin_firma,mixed,0,6,Por ello fue condenado a una pena única de siete años y seis,"Por ello, se hace lugar a la queja, se declara procedente el",por_ello,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI (según
330_p5306,330,mejora_gano_firma,otro,otro,sin_firma,disidencia,0,7,"En consecuencia, los daños cuyo resarcimiento se reclama son","Por ello, se resuelve: Hacer lugar parcialmente a los recurs",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (en disid
331_p68,331,REGRESION_menos_jueces,competencia,otro,unanime,unanime,6,4,Por los fundamentos y conclusiones del dictamen del señor Pr,"Por ello, de conformidad con lo dictaminado por la señor Pro",por_ello,Ricardo Luis Lorenzetti — Enrique Santiago Petracchi — Juan Carlos Maqueda — Car
331_p194,331,mejora_gano_firma,otro,otro,sin_firma,unanime,0,5,"En mérito a lo expuesto, solicita que se cite como tercero a","Por ello y oída la señora Procuradora Fiscal, se resuelve de",por_ello,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique
