caso_id_canonico,marco,origen_b,doble_cod,materia_capa,materia_fuente,parser_materia
347_p1215,A,,0,pendiente_capa2,sin_ancla,
347_p1932,B,materia=constitucional,0,capa2,objeto(1),constitucional
347_p2001,A,,0,pendiente_capa2,sin_ancla,
347_p2025,A,,0,originaria,originaria,
347_p360,A,,0,capa2,kw(1),civil_comercial
347_p412,A,,0,capa2,objeto(1),civil_comercial
347_p43,B,materia=electoral,0,capa1,regla:electoral,electoral
347_p606,A,,0,capa1,regla:civil y comercial federal,civil_comercial
347_p768,B,materia=electoral,1,capa1,regla:electoral,electoral
347_p833,A,,1,originaria,originaria,
348_p113,A,,0,capa2,kw+norma:23737(2),penal
348_p1316,B,materia=tributario,0,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d),tributario
348_p1347,A,,0,capa2,kw+norma:24522(2),civil_comercial
348_p1378,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
348_p1499,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
348_p1540,B,materia=tributario,0,capa2,norma:20628+parte(2),tributario
348_p1576,A,,0,originaria,originaria,
348_p169,A,,0,pendiente_capa2,sin_ancla,
348_p1717,A,,0,pendiente_capa2,sin_ancla,
348_p296,A,,1,pendiente_capa2,sin_ancla,
348_p405,A,,0,originaria,originaria,
348_p61,A,,0,capa1,regla:electoral,electoral
348_p708,A,,0,capa2,kw(1),ambiental
348_p92,A,,0,pendiente_capa2,sin_ancla,
348_p983,B,materia=ambiental,0,capa2,kw(1),ambiental
349_p148,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
349_p280,A,,0,capa1,regla:\bdel trabajo\b,laboral
349_p95,A,,0,capa1,regla:criminal y correccional,penal
