caso_id_canonico,materia,materia_capa,materia_fuente
343_p2176,salud,capa2,coocur:salud_amparo
343_p2181,,pendiente_capa2,sin_ancla
343_p2184,tributario,capa2,objeto(1)
343_p2211,civil_comercial,capa1,regla:\ben lo civil\b
343_p2243,penal,capa1,regla:casacion penal
343_p2255,civil_comercial,capa1,regla:\ben lo civil\b
343_p2271,,originaria,originaria
343_p2280,penal,capa1,regla:casacion penal
344_p1,contencioso_administrativo,capa1,regla:contencioso administrativo
344_p4,contencioso_administrativo,capa1,regla:contencioso administrativo
344_p5,contencioso_administrativo,capa1,regla:contencioso administrativo
344_p21,penal,capa1,regla:criminal y correccional
344_p48,civil_comercial,capa1,regla:\ben lo comercial\b
344_p57,civil_comercial,capa1,regla:\ben lo comercial\b
344_p62,laboral,capa1,regla:\bdel trabajo\b
344_p66,penal,capa1,regla:criminal y correccional
344_p81,penal,capa2,kw(1)
344_p102,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
344_p116,previsional,capa1,regla:seguridad social
344_p126,penal,capa2,kw(1)
344_p140,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
344_p159,,pendiente_capa2,sin_ancla
344_p161,penal,capa1,regla:casacion penal
344_p163,civil_comercial,capa1,regla:\ben lo civil\b
344_p169,,originaria,originaria
344_p174,,originaria,originaria
344_p215,contencioso_administrativo,capa2,provincia:ca
344_p220,contencioso_administrativo,capa2,provincia:ca
344_p223,,pendiente_capa2,sin_ancla
344_p233,laboral,capa1,regla:\bdel trabajo\b
344_p244,laboral,capa1,regla:\bdel trabajo\b
344_p249,civil_comercial,capa2,objeto(1)
344_p251,,originaria,originaria
344_p274,civil_comercial,capa2,objeto(1)
344_p277,tributario,capa2,norma:11683+parte(2)
344_p303,penal,capa1,regla:casacion penal
344_p307,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
344_p316,,originaria,originaria
344_p325,,no_aplica,tipo_entrada=sumario_editorial
344_p329,contencioso_administrativo,capa2,provincia:ca
344_p336,penal,capa2,kw(1)
344_p344,contencioso_administrativo,capa1,regla:contencioso administrativo
344_p355,,originaria,originaria
344_p362,penal,capa1,regla:casacion penal
344_p373,,originaria,originaria
344_p378,,pendiente_capa2,sin_ancla
344_p386,civil_comercial,capa2,objeto(1)
344_p391,penal,capa1,regla:casacion penal
344_p402,penal,capa1,regla:casacion penal
344_p406,previsional,capa1,regla:seguridad social
344_p409,,originaria,originaria
344_p421,civil_comercial,capa1,regla:\ben lo comercial\b
344_p431,contencioso_administrativo,capa2,provincia:ca
344_p441,constitucional,capa2,objeto(1)
344_p494,ambiental,capa2,norma:25675(1)
344_p507,,originaria,originaria
344_p527,laboral,capa1,regla:\bdel trabajo\b
344_p535,laboral,capa1,regla:\bdel trabajo\b
344_p545,penal,capa1,regla:casacion penal
344_p551,civil_comercial,capa2,norma:24901(1)
344_p564,previsional,capa2,objeto+parte(2)
344_p566,laboral,capa1,regla:\bdel trabajo\b
344_p572,penal,capa1,regla:casacion penal
344_p575,consumo,capa2,kw+norma:24240(2)
344_p603,,originaria,originaria
344_p645,tributario,capa2,objeto(1)
344_p653,,originaria,originaria
344_p660,,originaria,originaria
344_p666,contencioso_administrativo,capa2,provincia:ca
344_p668,,originaria,originaria
344_p672,civil_comercial,capa2,kw+objeto(2)
344_p675,contencioso_administrativo,capa1,regla:contencioso administrativo
344_p684,consumo,capa2,norma:24240(1)
