caso_id_canonico,tipo,norma,ambito,n_menciones
329_p3851,ley,24463,voto,3
329_p3851,ley,4055,voto,2
329_p3879,ley,12665,considerando,2
329_p3879,ley,12665,voto,1
329_p3884,ley,11683,considerando,2
329_p3884,ley,23658,considerando,1
329_p3884,ley,23982,considerando,1
329_p3884,ley,2545,considerando,1
329_p3890,ley,11490,considerando,2
329_p3890,ley,11518,considerando,1
329_p3894,ley,24390,considerando,3
329_p3908,ley,24522,considerando,1
329_p3910,ley,24522,considerando,1
329_p3910,ley,26086,considerando,1
329_p3928,ley,17319,considerando,1
329_p3928,ley,21778,considerando,1
329_p3931,ley,24522,considerando,1
329_p3931,ley,26086,considerando,1
329_p3940,ley,24051,considerando,1
329_p3966,ley,24305,considerando,2
329_p3966,ley,1285,voto,1
329_p3986,ley,24065,considerando,1
329_p3986,ley,25561,considerando,2
329_p3986,ley,25790,considerando,1
329_p3986,ley,25792,considerando,1
329_p3986,ley,25790,voto,1
329_p3986,ley,25792,voto,1
329_p4007,ley,11682,considerando,1
329_p4007,ley,16656,considerando,5
329_p4007,ley,23349,considerando,2
329_p4007,ley,23660,considerando,1
329_p4007,ley,25920,considerando,2
329_p4020,ley,11357,considerando,2
329_p4020,ley,17454,considerando,2
329_p4020,ley,17711,considerando,2
329_p4020,ley,22434,considerando,1
329_p4020,ley,25624,considerando,1
329_p4032,ley,25561,considerando,1
329_p4044,ley,24624,considerando,1
329_p4044,ley,25725,considerando,1
329_p4044,ley,1285,voto,1
329_p4044,ley,14467,voto,1
329_p4044,ley,24624,voto,2
329_p4044,ley,25725,voto,2
329_p4044,ley,4055,voto,3
329_p4057,ley,1285,considerando,1
329_p4058,ley,1285,voto,1
329_p4058,ley,14467,voto,1
329_p4058,ley,23098,voto,2
329_p4058,ley,23984,voto,1
329_p4058,ley,24050,voto,1
329_p4058,ley,4055,voto,1
329_p4066,ley,16986,caratula,1
329_p4087,ley,16463,caratula,1
329_p4087,ley,25344,dispositivo,1
329_p4087,ley,16463,voto,1
329_p4087,ley,25344,voto,1
329_p4097,ley,23898,considerando,1
329_p4133,ley,25561,considerando,1
329_p4140,ley,23982,considerando,1
329_p4140,ley,25344,considerando,2
329_p4140,ley,23982,voto,5
329_p4140,ley,24624,voto,1
329_p4140,ley,25344,voto,6
329_p4140,ley,25725,voto,1
329_p4150,ley,10397,considerando,1
329_p4161,ley,23548,considerando,1
329_p4161,ley,23548,voto,2
329_p4170,ley,25973,considerando,1
329_p4187,ley,1285,considerando,1
329_p4194,ley,1285,considerando,1
329_p4199,ley,1285,considerando,1
329_p4203,ley,24241,caratula,1
329_p4203,ley,24241,considerando,1
329_p4203,ley,24463,considerando,1
329_p4206,ley,19101,considerando,1
329_p4213,ley,11330,considerando,3
329_p4213,ley,11330,voto,5
329_p4255,ley,1285,considerando,1
329_p4266,ley,10397,considerando,1
329_p4271,ley,22731,considerando,3
329_p4271,ley,24241,considerando,1
329_p4271,ley,24463,considerando,3
329_p4273,ley,23982,voto,1
329_p4273,ley,24432,voto,2
329_p4289,ley,24522,considerando,1
329_p4309,ley,23982,considerando,18
329_p4309,ley,24130,considerando,1
329_p4309,ley,24156,considerando,1
329_p4309,ley,25237,considerando,5
329_p4309,ley,25344,considerando,1
329_p4309,ley,25401,considerando,3
329_p4309,ley,25561,considerando,2
329_p4309,ley,25565,considerando,12
329_p4309,ley,25725,considerando,3
329_p4309,ley,25820,considerando,1
329_p4309,ley,25827,considerando,4
329_p4309,ley,25967,considerando,7
329_p4309,ley,26017,considerando,3
329_p4309,ley,4325,considerando,1
329_p4337,ley,17671,considerando,1
329_p4342,ley,16463,considerando,1
329_p4347,ley,24270,considerando,1
329_p4349,ley,24241,considerando,1
329_p4349,ley,24463,considerando,1
329_p4360,ley,23551,voto,1
329_p4360,ley,23660,voto,1
329_p4360,ley,23661,voto,1
329_p4370,ley,4090,considerando,3
329_p4370,ley,4134,considerando,1
329_p4370,ley,4245,considerando,2
329_p4372,ley,16986,considerando,2
329_p4372,ley,18345,considerando,1
329_p4379,ley,22804,considerando,2
329_p4379,ley,24049,considerando,1
329_p4383,ley,22804,considerando,1
329_p4396,ley,11547,considerando,2
329_p4396,ley,1285,considerando,1
329_p4396,ley,17418,considerando,1
329_p4403,ley,24240,considerando,2
329_p4414,ley,23660,considerando,1
329_p4416,ley,23737,caratula,1
329_p4416,ley,26052,considerando,1
329_p4418,ley,23737,caratula,1
329_p4419,ley,17081,considerando,1
329_p4425,ley,11672,considerando,1
329_p4425,ley,20705,considerando,1
329_p4425,ley,23982,considerando,5
329_p4425,ley,24156,considerando,1
329_p4425,ley,24624,considerando,1
329_p4425,ley,25344,considerando,3
329_p4425,ley,25827,considerando,1
329_p4426,ley,3589,voto,1
329_p4430,ley,9688,considerando,3
329_p4447,ley,21839,dispositivo,1
329_p4447,ley,24432,dispositivo,1
329_p4449,ley,17319,considerando,1
329_p4449,ley,21839,considerando,2
329_p4449,ley,3500,considerando,1
329_p4464,ley,24307,considerando,2
329_p4464,ley,9686,considerando,1
329_p4470,ley,1285,considerando,1
329_p4481,ley,16463,considerando,1
329_p4490,ley,23592,considerando,1
329_p4503,ley,18038,considerando,1
329_p4503,ley,24241,considerando,2
329_p4503,ley,24463,considerando,2
329_p4506,ley,1285,considerando,1
329_p4506,ley,21708,considerando,1
329_p4506,ley,21839,considerando,1
329_p4506,ley,24432,considerando,3
329_p4506,ley,24522,considerando,1
329_p4506,ley,1285,voto,3
329_p4506,ley,21708,voto,3
329_p4506,ley,21839,voto,1
329_p4506,ley,24432,voto,2
329_p4542,ley,16986,caratula,1
329_p4542,ley,16986,considerando,1
329_p4542,ley,24240,considerando,2
329_p4542,ley,24284,considerando,1
329_p4570,ley,24043,caratula,1
329_p4570,ley,24043,considerando,4
329_p4570,ley,24906,considerando,2
329_p4584,ley,25561,voto,1
329_p4584,ley,4055,voto,1
329_p4592,ley,21839,dispositivo,1
329_p4592,ley,24432,dispositivo,1
329_p4593,ley,23098,voto,1
329_p4593,ley,25673,voto,2
329_p4622,ley,24076,considerando,1
329_p4628,ley,24043,caratula,1
329_p4715,ley,25798,considerando,2
329_p4717,ley,9245,considerando,2
329_p4717,ley,9539,considerando,1
329_p4730,ley,11683,caratula,1
329_p4730,ley,11683,voto,3
329_p4730,ley,24946,voto,2
329_p4741,ley,16986,voto,1
329_p4755,ley,21839,considerando,1
329_p4755,ley,24432,considerando,1
329_p4755,ley,24432,voto,2
329_p4762,ley,24043,considerando,8
329_p4762,ley,24096,considerando,1
329_p4762,ley,24906,considerando,1
329_p4769,ley,24043,considerando,1
329_p4781,ley,25798,considerando,2
329_p4781,ley,25798,dispositivo,1
329_p4808,ley,23982,considerando,1
329_p4808,ley,24475,considerando,1
329_p4817,ley,25488,considerando,1
329_p4822,ley,17319,considerando,2
329_p4822,ley,2453,considerando,1
329_p4826,ley,25344,considerando,1
329_p4826,ley,25725,considerando,1
329_p4826,ley,25344,voto,1
329_p4826,ley,25725,voto,1
329_p4829,ley,17319,considerando,2
