voto_id,caso_id_canonico,tomo,date,juez,source_file,linea_inicio,linea_fin_real,primera_del_caso,doble_cod,cod_juez_ok,cod_posicion,cod_tipo_voto_sep,cod_fragmenta_ratio,cod_punto_divergencia,cod_completitud_caso,notas
329_p2217::4,329_p2217,329,13 de junio de 2006,Lorenzetti,LibroVol329.2.md,31942,31984,0,0,,,,,,,
329_p2217::5,329_p2217,329,13 de junio de 2006,Argibay,LibroVol329.2.md,31942,31984,0,0,,,,,,,
329_p2263::0,329_p2263,329,20 de junio de 2006,Petracchi,LibroVol329.2.md,33615,33658,1,0,,,,,,,
329_p2263::1,329_p2263,329,20 de junio de 2006,Highton de Nolasco,LibroVol329.2.md,33615,33658,0,0,,,,,,,
329_p2263::2,329_p2263,329,20 de junio de 2006,Maqueda,LibroVol329.2.md,33615,33658,0,0,,,,,,,
329_p2263::3,329_p2263,329,20 de junio de 2006,Lorenzetti,LibroVol329.2.md,33615,33658,0,0,,,,,,,
329_p2263::4,329_p2263,329,20 de junio de 2006,Argibay,LibroVol329.2.md,33615,33658,0,0,,,,,,,
329_p2265::0,329_p2265,329,20 de junio de 2006,Petracchi,LibroVol329.2.md,33659,34029,1,0,,,,,,,
329_p2265::1,329_p2265,329,20 de junio de 2006,Highton de Nolasco,LibroVol329.2.md,33659,34029,0,0,,,,,,,
329_p2265::2,329_p2265,329,20 de junio de 2006,Maqueda,LibroVol329.2.md,33659,34029,0,0,,,,,,,
329_p2265::3,329_p2265,329,20 de junio de 2006,Lorenzetti,LibroVol329.2.md,33659,34029,0,0,,,,,,,
329_p2265::4,329_p2265,329,20 de junio de 2006,Argibay,LibroVol329.2.md,33659,34029,0,0,,,,,,,
329_p2293::0,329_p2293,329,20 de junio de 2006,Petracchi,LibroVol329.2.md,34741,34835,1,0,,,,,,,
329_p2293::1,329_p2293,329,20 de junio de 2006,Highton de Nolasco,LibroVol329.2.md,34741,34835,0,0,,,,,,,
329_p2293::2,329_p2293,329,20 de junio de 2006,Maqueda,LibroVol329.2.md,34741,34835,0,0,,,,,,,
329_p2293::3,329_p2293,329,20 de junio de 2006,Lorenzetti,LibroVol329.2.md,34741,34835,0,0,,,,,,,
329_p2293::4,329_p2293,329,20 de junio de 2006,Argibay,LibroVol329.2.md,34741,34835,0,0,,,,,,,
329_p234::0,329_p234,329,21 de febrero de 2006,Petracchi,LibroVol329.1.md,8629,8728,1,0,,,,,,,
329_p234::1,329_p234,329,21 de febrero de 2006,Highton de Nolasco,LibroVol329.1.md,8629,8728,0,0,,,,,,,
329_p234::2,329_p234,329,21 de febrero de 2006,Fayt,LibroVol329.1.md,8629,8728,0,0,,,,,,,
329_p234::3,329_p234,329,21 de febrero de 2006,Maqueda,LibroVol329.1.md,8629,8728,0,0,,,,,,,
329_p234::4,329_p234,329,21 de febrero de 2006,Lorenzetti,LibroVol329.1.md,8629,8728,0,0,,,,,,,
329_p2351::0,329_p2351,329,20 de junio de 2006,Petracchi,LibroVol329.2.md,36975,37108,1,0,,,,,,,
329_p2351::1,329_p2351,329,20 de junio de 2006,Highton de Nolasco,LibroVol329.2.md,36975,37108,0,0,,,,,,,
329_p2351::2,329_p2351,329,20 de junio de 2006,Fayt,LibroVol329.2.md,36975,37108,0,1,,,,,,,
329_p2351::3,329_p2351,329,20 de junio de 2006,Maqueda,LibroVol329.2.md,36975,37108,0,0,,,,,,,
329_p2351::4,329_p2351,329,20 de junio de 2006,Lorenzetti,LibroVol329.2.md,36975,37108,0,0,,,,,,,
329_p239::0,329_p239,329,21 de febrero de 2006,Petracchi,LibroVol329.1.md,8792,8873,1,0,,,,,,,
329_p239::1,329_p239,329,21 de febrero de 2006,Highton de Nolasco,LibroVol329.1.md,8792,8873,0,1,,,,,,,
329_p239::2,329_p239,329,21 de febrero de 2006,Maqueda,LibroVol329.1.md,8792,8873,0,0,,,,,,,
329_p239::3,329_p239,329,21 de febrero de 2006,Lorenzetti,LibroVol329.1.md,8792,8873,0,0,,,,,,,
329_p239::4,329_p239,329,21 de febrero de 2006,Argibay,LibroVol329.1.md,8792,8873,0,0,,,,,,,
329_p2532::0,329_p2532,329,11 de julio de 2006,Petracchi,LibroVol329.2.md,43962,44186,1,0,,,,,,,
329_p2532::1,329_p2532,329,11 de julio de 2006,Highton de Nolasco,LibroVol329.2.md,43962,44186,0,0,,,,,,,
329_p2532::2,329_p2532,329,11 de julio de 2006,Fayt,LibroVol329.2.md,43962,44186,0,0,,,,,,,
